Review,Rating
"rudest staff seen, booked rooms employees stay xmas party, driving hotel 4 times no place park/valet parked street lugged luggage hotel, rudely told young woman counter park car middle st. charles ave staff valet 10 15 minutes, not leaving car middle busy st. charles ave long, rooms dirty bathroom floor dirt mold, shower head sprayed little water wall shower curtain not, absolute worst experience hotel travel time, hopefully company buy proper staff place, place joke, traveling thinking staying historic new orleans came away thinking think bad katrina did not place, not,  ",1
"highly recommend hotel residence henri iv great town convenient popular tourist attractions, hotel end dead end street makes immiediate area little quiet intimate, walk intersection heart latin quarter surrounded shops restaurants bakeries cafes just minute walk notre dame, metro station 10 minute walk hotel.the hotel staf friendly helpful pretty good english.we called apartment people wife plus daughters, room bedroom queen size bed living roon pull-out sofa, pull-out bed small people six-year-old daughter, room kitchenette did not use, hotel room older clean, room adequate, couple disappointing aspects room, towels bathroom threadbare toilet seat worn not dirty breakfast room basement not particularly great place start day paris, breakfast ok. ate day rush, enjoyed breakfasts local cafes more.in summary nice friendly hotel great location, definitely stay,  ",4
"cute star hotel just returned 4 day trip barcelona, hotel offers excellent location room antique style helpful staffs, complaint noise, floor hotel rooms room reception noisy night especially receptionist talking, inconvenience not receptionist speaks english morning, overall good value stay stay,  ",4
"just right love old buildings old hotels, room corner floor, directly fabulous seattle public library, room perfectly small bathroom great, love old deep porcelain bathtub endless hot water, makes love room, one-piece modern sink stunning know, walked ferry thanksgiving, fyi known choose straight hill fourth avenue walk downtown hotel way, young daughter ended walking gauntlet single homeless illegal men sitting pier near marketplace, uncomfortable especially pulling luggage, n't highest vibration sure, addition ate great thanksgiving buffet dinner street sazerac restaurant located hotel monaco, delicious, lovely way spend holiday certain, like energy ambience old hotels adore hot baths excellent customer service stay executive hotel pacific downtown seattle, free wireless internet awesome,  ",5
"sadly not quite good hotel calibre not mention price disappointed aspects stay, location view inspiring guest rooms try getting cab time day night doorman advise road try seasons taxis n't like coming, not great recommendation five-star hotel especially wearing high heels, pre-booked morning newspaper failed materialise took 45 minutes resolve pre-booked much-needed massage appointment spa messed simply advised later, parting gift additional 75 sent mail housekeeping staff incorrectly tallied minibar account.all thoroughly ordinary experience despite view opera house, contemplating stay hotel consider seasons instead stayed better service,  ",2
"n't bring valuable beautiful hotel grounds huge bring walking shoes.some restraunts ok not.our biggest problems things got missing rooms.an engagment ring taken perfume clothing, not happy, hotel did nothing, said coul n't prove ring, etc. no,  ",2
"beware beware leave vehicle, took advantage park ride unfortunately vehicle broken,  ",3
"wonderful hotel near eiffel tower 3rd year gone hotel location perfect neighborhood safe local, julie palisse hotel year stay special rest staff, homey just remodeled, stay place paris,  ",5
"booked break holiday travel firm told hotel vacancies, arrived, check fine got second floor couple builders working lift, laid planks wood cabling plastic pipes right did n't offer struggled past suitcases, not good start reached room looked ok glance entering bathroom disgusting, dried blood wall bath filthy, cleaned do.breakfast morning nothing write home limited choice.we great time city returned hotel arrived home wrote travel company let know, life complained holiday, negative view trip advisor yes hotel really bad,  ",1
"great locale surprisingly nice place hostel, perfect location walk tourist locales, impression entering hotel positive, staircases strange goes old house amsterdam room, bathrooms beds clean, access rooms given guests buzz-in process, great overall experience, stay,  ",4
"hotel toledano aware place booking phone webpage, no warning cancellation fees mentioned, booked room week advance phone, owner hotel took credit card details said charged arrival, called day let know change plans took money illegally credit card, owner stated cancellations 15 days subject charge 40eur, argued reservation day received no warning charges, reply n't care shortly phone, thankfully credit card company arranged illegal withdrawal fully refunded account,  ",2
"case study poor customer service husband recently stayed ramada trip bali celebrate anniversary, read trip advisor bit wary negative comments hotel decided hotel try considering reasonable rates, stay planned end long trip staying hotels ranging 225 250 night vs. 90 night ramada, overall hotel better ramadas rooms not luxurious comfortable, gorgeous beaches canggu seminyak jimbaran nusa lemongan did not mind beach attached ramada n't nicest reviewers mired boats jet skiis low tide covered seaweed clean sand, tao restaurant nice pool food reasonably priced 50 meal 2 people drinks, experience breaks customer service involved, booked room online tried email hotel email listed web site confirm reservation late check no answered, emailed 6 times no answer, fact concierge far better hotel bali confirm reservation ramada, fact ramada not help book alternative transportation airport, charge 15 trip using hotel shuttle taxi cost 7, asked book car private driver charged 2 just make, really appalled cheap considering not customer service request, booking car airport customers.finally dispute failed miserably handling charged day rate charged late check day, manager completely unwilling budge giving absolutely no concessions discount considering fully hotel mistake, husband discussed realized probably directive ramada central management not let junior managers need help customers ensure complete satisfaction, difference day half day rate 45 unwilling consider lost customers life, planning write strongly worded letter ramada central management issue definitely recommend ramada friends associates, husband planning use experience ramada company presentation not manage customer service planning submit case business school case study poor customer service management.in short wish truly experience luxury comfort amazing customer service bali offer pay little stay myriad hotels south bali not ramada,  ",2
"rooftop terras look stars looking romantic spot amsterdam kiss girlfriend boyfriend stars want rooftop hotel hotel, rest story positive comments, want add no airco rooms, days forgot open windows bit warm room.so looking 17 celcius mid summer better leave window open fan course fan room wo n't summer.but gr elisabeth waltersedinburgh ireland,  ",5
"light light shaddow, reception horrably slow unefficient, rooms standart different quality, facilities not outstanding, long ways walk b. good breakfast, aircon room not strong got 26 degree c,  ",2
"nothing spectacular chosen weekend getaway building looks great clean functional, 30 mins wait check 2 receptionists, room on-par 179 night love plasma tv room clean lines neutrogena amenities bathroom.charged mini-bar items n't touched.. checked whilst 1030pm, hotels nyc pool basic gym, basically nice little change scenery,  ",3
"reasonable hotel good location stayed solo traveler night trip berlin, overall hotel adequate needs located.the plaza charlotenberg district berlin old western area city, modern hotel 4 floors small bar area restaurant ground floor, room small looking hotel small street just ku'damn main shopping district city, size bit issue lone occupant nights quite lot street noise worsened fact really need window open make lack air conditioning, location good intend shop nearby tiregarten intending tour museums, sights lie east charloneberg area served good train network, hotel 5 minutes walk closest s bahn station overground 10 minutes closest u bahn station underground, good choice local restaurants variety cost supermarket street, facilities hotel reasonable, staff friendly helpful able converse english required, bar small reasonably priced, did not eat hotel nigh breakfast offered good choice service excellent, particularly enjoyed large pot coffee served thermos kept hot table, couple minor grumbles, pillow room likewise towels just smallish bath towel hand towel left bathroom, told plaza offers good value money good hotel run efficiently not really exceptional,  ",3
"does not live hype wanted love peninsula beijing did n't, hotel western style good location high end luxury boutiques, room small bathroom cramped, bathtub quite old dirty, aside housekeeping laundry service good, complimentary bottle wine room arrived, in-room electronics quite good.we dined jing la carte not buffet room-service, food average slightly average.the business centre nice charges guests use internet.the pool busy appeared dirty, not swim pool, gym nice clean.the concierge service appeared good efficient, responsive emails prior arrival helpful booking tours theatre tickets meals, tour booked nightmare.we paid great deal money day tour historical sites china, warned horrors shopping trips wrongly assumed tour booked peninsula academy program fine, tour guide obviously commission certain stores wasted 2 hours trip trying buy things, pushy kept trying end tour return stores previously visited, course wasted time shopping nonsense mentioned brochure provided peninsula tour certain sites short, complained desk manager did not appear care did not adjust, complained peninsula head office concerned investigating complaint, point took hutong tour arranged hotel good.we disappointed valet cab metre big scam china, tried point did n't cab took, got overcharged 20,  ",2
"perfect, impressive place, want clean comfy rooms great location, pleased,  ",5
"ritz carlton just so-so ritz carlton does not live chain reputation, room small furniture rearranged night make room cot granddaughter traveling, cot place 35 night extra not walk balcony 150 night extra tripping furniture, lighting bathroom horrible food just ok lunch long wait outdoor restaurant n't ritz experience expected, stayed better hotels lot money,  ",2
"tasteful friendly well-located small hotel well-managed hotel currently renovated sore point reviews completed hotel attractive rooms lobby area tastefully furnished decorated modern japanese look, staff quite friendly room manager lenore asset feel home, gifts bottled water speciality jam chocolates champaign generously offered seven hour extension noon checkout gratefully accepted departure flight night, highly recommend personalized small hotel especially current rates quite reasonable waikiki maintained renovation completed,  ",5
"excellent service location nice hotel, quiet, large clean rooms, desk staff excellent, nice private bar relax, walk,  ",5
"not bad good value money hotel good value money amenities needed bit far centre florence idealy suited wanted tours area, room unfortunately bit shabby wallpaper peeling,  ",3
"terrible terrible terrible unbelievable, caution caution, say careful booking, not display cancelation policies site claim charges anyway.if wanted change hotels charged, not agree reviews, location terrible took 15 minutes walk busy noisy area lot hotels/ motels area, try first.if 0 5 chosen,  ",1
"excellent location rooms adults, room quite small, rooms overlooked courtyard sort quiet.excellent air conditioning, elevator, 160 e guess excellent price, cost 37 e cab cdg, did not eat choices available,  ",5
"good fairly priced not great say experience consistent reviews, traveling city theater mid-town tourist sites location perfect literally steps times square, learned nyc best plan lodging location evening events minimize trip home, stated size rooms smaller usual hotels, upgraded superior room 605 included double bed fridge writing desk built wardrobe small tv dvd player, bathroom pedestal sink toilet shower stall, told size room 135 sq ft felt right, single traveler size fine tight couple extended stay.the overall condition good not great, certainly clean quality linens toiletries high, scuff marks walls bed result narrow space suspect large burn mark clothes iron carpet items certainly not significant, biggest issues smell cigerette smoke vent bathroom non-smoking room inconsistent hot water availability mornings, room fairly quiet no discernable street noise occasional sounds people hall, staff cordial professional not overly friendly.overall satisfied rate paid probably stay n't boost place good great, hope management reads reviews,  ",4
"disceiving booked room 3 days, regret husband looked room not pictured web site, size bed kitchenette thing liked, decided stay days, daughters shared size bed, youngest bitten times believed kind little mites fleas noticed bedspread not clean, sprayed lysol did n't work needed flea spray, hard parking come park, stated parking available blocks away, thing did n't enjoy area somewhat bad, staying police searching man stood hotel believe fight, nervous especially children trying nice time, hotel connected green isle owners, thank god 3 days, know time not stay, mango inn feet away nicer place clean, disappointed customer,  ",2
